[INIT] Bridge connectat. Preu: 83.0005 | Caixa: 86411.8
[2026-03-01 23:19:48] STATUS -> Preu: 83.6174 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:20:19] STATUS -> Preu: 83.6655 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:20:50] STATUS -> Preu: 83.7095 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:21:20] STATUS -> Preu: 83.7095 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:21:51] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:22:22] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:22:53] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:23:24] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:23:55] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:24:26] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:24:56] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:25:27] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:25:58] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:26:29] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:27:00] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:27:31] STATUS -> Preu: 83.6099 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:28:02] STATUS -> Preu: 82.5884 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:28:32] STATUS -> Preu: 83.5326 | Caixa: 9727.91 | SOL: 926.749
[MAKER] Ordre LIMIT de compra col·locada: 58.021 SOL @ 82.6685. Esperant fins a 20s...
[MAKER] Temps esgotat (20s). Cancel·lant la part restant de l'ordre.
[MAKER] No s'ha aconseguit omplir res de l'ordre.
[2026-03-01 23:29:30] STATUS -> Preu: 83.4586 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:30:01] STATUS -> Preu: 83.4172 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:30:32] STATUS -> Preu: 83.36 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:31:03] STATUS -> Preu: 83.435 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:31:34] STATUS -> Preu: 83.435 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:32:05] STATUS -> Preu: 83.5881 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:32:36] STATUS -> Preu: 83.54 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:33:06] STATUS -> Preu: 83.434 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:33:37] STATUS -> Preu: 83.5115 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:34:08] STATUS -> Preu: 83.4803 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:34:39] STATUS -> Preu: 83.4803 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:35:10] STATUS -> Preu: 83.535 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:35:41] STATUS -> Preu: 83.4698 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:36:12] STATUS -> Preu: 83.5498 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:36:42] STATUS -> Preu: 83.671 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:37:13] STATUS -> Preu: 83.665 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:37:44] STATUS -> Preu: 83.6825 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:38:15] STATUS -> Preu: 83.7275 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:38:46] STATUS -> Preu: 83.7876 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:39:17] STATUS -> Preu: 83.746 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:39:48] STATUS -> Preu: 83.8015 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:40:19] STATUS -> Preu: 83.8015 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:40:49] STATUS -> Preu: 83.5904 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:41:20] STATUS -> Preu: 83.6499 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:41:51] STATUS -> Preu: 83.6499 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:42:22] STATUS -> Preu: 83.686 | Caixa: 9727.91 | SOL: 926.749
